Comunidad autónoma,Grupo,Año,Mes,IPC
Canarias,Transporte,2020,Enero,109.81
Canarias,Comunicaciones,2020,Mayo,104.871
Canarias,Comunicaciones,2020,Abril,104.992
Canarias,Comunicaciones,2020,Marzo,105.163
Canarias,Comunicaciones,2020,Febrero,103.889
Canarias,Comunicaciones,2020,Enero,103.902
Canarias,Ocio y cultura,2020,Mayo,97.686
Canarias,Ocio y cultura,2020,Abril,98.867
Canarias,Ocio y cultura,2020,Marzo,97.914
Canarias,Ocio y cultura,2020,Febrero,98.371
Canarias,Ocio y cultura,2020,Enero,97.893
Canarias,Enseñanza,2020,Mayo,100.905
Canarias,Enseñanza,2020,Abril,101.032
Canarias,Enseñanza,2020,Marzo,101.021
Canarias,Enseñanza,2020,Febrero,101.022
Canarias,Enseñanza,2020,Enero,101.022
Canarias,Restaurantes y hoteles,2020,Mayo,108.149
Canarias,Restaurantes y hoteles,2020,Abril,107.53
Canarias,Restaurantes y hoteles,2020,Marzo,106.963
Canarias,Restaurantes y hoteles,2020,Febrero,107.08
Canarias,Restaurantes y hoteles,2020,Enero,106.756
Canarias,Otros bienes y servicios ,2020,Mayo,103.802
Canarias,Otros bienes y servicios ,2020,Abril,103.462
Canarias,Otros bienes y servicios ,2020,Marzo,103.445
Canarias,Otros bienes y servicios ,2020,Febrero,103.413
Canarias,Otros bienes y servicios ,2020,Enero,102.665
Cantabria,Alimentos y bebidas no alcohólicas,2020,Mayo,106.718
Cantabria,Alimentos y bebidas no alcohólicas,2020,Abril,106.898
Cantabria,Alimentos y bebidas no alcohólicas,2020,Marzo,105.193
Cantabria,Alimentos y bebidas no alcohólicas,2020,Febrero,105.107
Cantabria,Alimentos y bebidas no alcohólicas,2020,Enero,104.224
Cantabria,Bebidas alcohólicas y tabaco,2020,Mayo,104.21
Cantabria,Bebidas alcohólicas y tabaco,2020,Abril,104.006
Cantabria,Bebidas alcohólicas y tabaco,2020,Marzo,104.119
Cantabria,Bebidas alcohólicas y tabaco,2020,Febrero,104.108
Cantabria,Bebidas alcohólicas y tabaco,2020,Enero,103.739
Cantabria,Vestido y calzado,2020,Mayo,108.784
Cantabria,Vestido y calzado,2020,Abril,104.504
Cantabria,Vestido y calzado,2020,Marzo,96.872
Cantabria,Vestido y calzado,2020,Febrero,94.552
Cantabria,Vestido y calzado,2020,Enero,97.936
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,97.667
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,97.698
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,99.726
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,101.677
Cantabria,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,102.962
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,100.329
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,99.949
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,99.507
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,99.175
Cantabria,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,99.153
Cantabria,Sanidad,2020,Mayo,103.825
Cantabria,Sanidad,2020,Abril,103.941
Cantabria,Sanidad,2020,Marzo,103.901
Cantabria,Sanidad,2020,Febrero,103.896
Cantabria,Sanidad,2020,Enero,103.647
Cantabria,Transporte,2020,Mayo,103.906
Cantabria,Transporte,2020,Abril,104.61
